Epoch,Accuracy,Fairness (DPD),Bias (Mean Diff),Loss,Energy (kWh),Power Draw (W)
5,0,0,0.0013052523136138916,0.6949568390846252,0.00018701031192541135,80
10,0.7365010799136069,0.24233128834355833,0.0003423007095561308,0.6954081794794869,0.0002151766442600225,105.83
16,0.7365010799136069,0.24233128834355833,0.00041824053315555346,0.6949790891479043,0.00024206245904829775,80
21,0.7365010799136069,0.24233128834355833,-0.0002950131893157959,0.6950435042381287,0.0002693946124325198,94.985
26,0.7365010799136069,0.24233128834355833,0.00028669308213626635,0.6944945770151475,0.00029466319442027146,80
32,0.7365010799136069,0.24233128834355833,0.00016842168920180376,0.6942461764111238,0.0003206848204063044,80
38,0.7365010799136069,0.24233128834355833,0.0005035698413848877,0.6938146352767944,0.00034747823958098875,106.235
43,0.7365010799136069,0.24233128834355833,0.0008962750434875488,0.6948928236961365,0.00037364880804022167,91.25
49,0.7365010799136069,0.24233128834355833,-0.0002225041389465332,0.694409966468811,0.00039920016695492807,80
55,0.7365010799136069,0.24233128834355833,0.00017449259757995605,0.6947311758995056,0.0004249949995232954,83.06
60,0.7365010799136069,0.24233128834355833,0.00011706352233886719,0.6949740648269653,0.0004503735265354316,80
65,0.7365010799136069,0.24233128834355833,0.0006270706653594971,0.6958799362182617,0.0004747232896202138,80
71,0.7365010799136069,0.24233128834355833,0.0007672905921936035,0.6939888596534729,0.0005033335938099356,80
77,0.7365010799136069,0.24233128834355833,0.00022912025451660156,0.6945266723632812,0.0005278962816334434,80
83,0.7365010799136069,0.24233128834355833,0.00039297868223751295,0.6954626966925228,0.0005533823825865979,80
90,0.7365010799136069,0.24233128834355833,0.0003973245620727539,0.6951631307601929,0.0005781773652493951,80
95,0.7365010799136069,0.24233128834355833,0.00039351512404049146,0.6948765761712018,0.0006032440289374851,102.05
102,0.7365010799136069,0.24233128834355833,0.00021412968635559082,0.6956772208213806,0.0006290217419882611,80
107,0.7365010799136069,0.24233128834355833,0.00033568284090827494,0.6950290588771596,0.0006549800911929866,80
112,0.7365010799136069,0.24233128834355833,0.00021351260297438677,0.6942185408928815,0.0006801696193738111,80
118,0.7365010799136069,0.24233128834355833,0.0005296170711517334,0.6943626403808594,0.0007073171721753142,80
124,0.7365010799136069,0.24233128834355833,0.0005471338244045482,0.6947435841840857,0.0007313169856352935,80
130,0.7365010799136069,0.24233128834355833,-0.00025349855422973633,0.6945197582244873,0.0007559188019292215,91.25
136,0.7365010799136069,0.24233128834355833,-0.0002263188362121582,0.695610523223877,0.0007846854808181517,87.515
142,0.7365010799136069,0.24233128834355833,0.00018467272029203528,0.694295841104844,0.0008084109761582475,80
149,0.7365010799136069,0.24233128834355833,0.00019544363021850586,0.6945937275886536,0.0008346283175210151,80
155,0.7365010799136069,0.24233128834355833,0.0001322329044342041,0.694811224937439,0.0008584741659429332,80
161,0.7365010799136069,0.24233128834355833,0.000333935022354126,0.6957914233207703,0.0008860713253315947,125
167,0.7365010799136069,0.24233128834355833,0.0006240010261535645,0.6948748826980591,0.0009111914557016551,80
174,0.7365010799136069,0.24233128834355833,0.00020888447761535645,0.69391930103302,0.0009360368880275215,90.395
180,0.7365010799136069,0.24233128834355833,0.0004410743713378906,0.695095419883728,0.0009606907945450798,80
186,0.7365010799136069,0.24233128834355833,-0.00038236379623413086,0.6938869953155518,0.000987370549702974,125
191,0.7365010799136069,0.24233128834355833,0.0002662521951338824,0.6953070374096141,0.00101209663152562,80
197,0.7365010799136069,0.24233128834355833,0.00033545494079589844,0.6945099830627441,0.00103874099066224,106.235
200,0.7365010799136069,0.24233128834355833,0.0002267448341145235,0.6943500252331004,0.0010524342195861829,103.13
