Epoch,Accuracy,Fairness (DPD),Bias (Mean Diff),Loss,Energy (kWh),Power Draw (W)
1,0.502,0,-0.002061276463791728,184.7671558856964,0.0008789180606106916,104.92999999999999
2,0.498,0,-0.0035256994888186455,89.33522653579712,0.0016248479665723116,107.58500000000001
3,0.502,0,-0.000018407590687274933,38.011620938777924,0.0023842808501634343,108.44
4,0.502,0,-2.7939677238464355e-9,5.4870168417692184,0.0031353306666099382,107
5,0.502,0,-9.313225746154785e-10,3.0904684513807297,0.003909460885243617,109.385
6,0.502,0,-1.30385160446167e-8,3.377016246318817,0.004655087100288938,109.16
7,0.498,0,-1.210719347000122e-8,3.367703504860401,0.005420980159726742,106.91
